id,focus,signal,slack,drag,confidence,score,lane
l001,latency skew,35,33,6,25,98,watch
l002,signal loss,35,34,6,55,129,watch
l003,incident shape,35,35,6,85,160,watch
l004,span volume,35,36,18,25,41,hold
l005,latency skew,35,37,18,55,72,hold
l006,signal loss,35,38,18,85,103,watch
l007,incident shape,35,39,34,25,-36,hold
l008,span volume,35,40,34,55,-5,hold
l009,latency skew,35,41,34,85,26,hold
l010,signal loss,60,42,6,25,157,watch
l011,incident shape,60,43,6,55,188,watch
l012,span volume,60,44,6,85,219,ship
l013,latency skew,60,45,18,25,100,watch
l014,signal loss,60,46,18,55,131,watch
l015,incident shape,60,47,18,85,162,watch
l016,span volume,60,48,34,25,23,hold
l017,latency skew,60,32,34,55,37,hold
l018,signal loss,60,33,34,85,68,hold
l019,incident shape,85,34,6,25,199,ship
l020,span volume,85,35,6,55,230,ship
l021,latency skew,85,36,6,85,261,ship
l022,signal loss,85,37,18,25,142,watch
l023,incident shape,85,38,18,55,173,watch
l024,span volume,85,39,18,85,204,ship
l025,latency skew,85,40,34,25,65,hold
l026,signal loss,85,41,34,55,96,hold
l027,incident shape,85,42,34,85,127,watch
